                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5604,                 5.7751,                 4.2664,                      0,                      0,                      0,                      0,                  3.486,                 5.3398,                 4.1597,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                 3.6164,                  5.693,                 4.3132,                      0,                      0,                      0,                      0,                  3.485,                 5.3399,                 4.1604,             2.9259e-05,             2.9259e-05,             2.9259e-05
                      2,                 3.6092,                 5.7044,                 4.2707,                      0,                      0,                      0,                      0,                  3.484,                  5.341,                 4.1605,             4.3728e-05,             4.3728e-05,             4.3728e-05
                      3,                 3.5457,                  5.687,                 4.2739,                      0,                      0,                      0,                      0,                 3.4829,                 5.3402,                 4.1605,             5.7686e-05,             5.7686e-05,             5.7686e-05
                      4,                 3.5876,                 5.7126,                 4.2493,                      0,                      0,                      0,                      0,                 3.4819,                 5.3408,                 4.1598,             7.1133e-05,             7.1133e-05,             7.1133e-05
                      5,                 3.5812,                 5.6754,                 4.2327,                      0,                      0,                      0,                      0,                 3.4805,                 5.3423,                 4.1586,             8.4071e-05,             8.4071e-05,             8.4071e-05
                      6,                 3.5742,                 5.6462,                 4.2308,                      0,                      0,                      0,                      0,                 3.4788,                 5.3453,                 4.1576,             9.6497e-05,             9.6497e-05,             9.6497e-05
                      7,                 3.6125,                 5.6625,                 4.2182,                      0,                      0,                      0,                      0,                 3.4768,                 5.3488,                 4.1563,             0.00010526,             0.00010526,             0.00010526
                      8,                 3.6355,                 5.6345,                 4.2194,                      0,                      0,                      0,                      0,                 3.4749,                 5.3524,                 4.1555,             0.00010526,             0.00010526,             0.00010526
                      9,                 3.5476,                 5.6065,                 4.2079,                      0,                      0,                      0,                      0,                 3.4726,                 5.3584,                 4.1547,             0.00010329,             0.00010329,             0.00010329
                     10,                 3.6253,                 5.5852,                 4.2085,                      0,                      0,                      0,                      0,                 3.4706,                 5.3612,                 4.1531,             0.00010133,             0.00010133,             0.00010133
                     11,                  3.542,                 5.5636,                 4.1941,                      0,                      0,                      0,                      0,                 3.4672,                 5.3575,                 4.1491,             9.9365e-05,             9.9365e-05,             9.9365e-05
                     12,                 3.5974,                 5.6018,                 4.1969,                0.01408,                0.00282,                0.00845,                0.00085,                 3.4605,                 5.3427,                 4.1444,             9.7402e-05,             9.7402e-05,             9.7402e-05
                     13,                 3.4614,                 5.6045,                 4.1714,                0.01408,                0.00282,                0.00845,                0.00085,                 3.4542,                  5.312,                 4.1411,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     14,                 3.5958,                  5.542,                  4.185,                0.00104,                0.00056,                 0.0006,                  6e-05,                 3.4474,                 5.2601,                  4.139,             9.3475e-05,             9.3475e-05,             9.3475e-05
                     15,                 3.5715,                 5.5489,                 4.1703,                0.00023,                0.00067,                0.00013,                  6e-05,                  3.441,                 5.1804,                 4.1407,             9.1511e-05,             9.1511e-05,             9.1511e-05
                     16,                 3.6139,                 5.5099,                 4.1643,                0.00116,                0.00555,                0.00093,                0.00049,                 3.4306,                 5.1131,                 4.1477,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     17,                 3.6127,                 5.4913,                 4.1658,                0.00043,                0.00572,                0.00037,                0.00019,                 3.4207,                 5.0657,                 4.1555,             8.7584e-05,             8.7584e-05,             8.7584e-05
                     18,                 3.4467,                  5.521,                 4.1571,                0.00035,                0.00864,                0.00031,                 0.0001,                 3.4098,                 5.0281,                 4.1583,             8.5621e-05,             8.5621e-05,             8.5621e-05
                     19,                 3.5297,                 5.4795,                 4.1657,                0.00085,                0.00906,                0.00053,                0.00011,                 3.4057,                 5.0199,                 4.1556,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     20,                 3.5239,                 5.5057,                 4.1406,                0.00075,                0.01275,                0.00051,                0.00022,                 3.3989,                 5.0055,                 4.1527,             8.1693e-05,             8.1693e-05,             8.1693e-05
                     21,                 3.4685,                 5.5572,                 4.1358,                0.00041,                0.01504,                0.00038,                0.00011,                 3.4021,                 4.9931,                 4.1502,              7.973e-05,              7.973e-05,              7.973e-05
                     22,                   3.58,                 5.4656,                 4.1406,                0.00027,                0.00985,                0.00022,                  7e-05,                  3.404,                 4.9864,                  4.146,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     23,                 3.5793,                 5.5176,                 4.1302,                0.00027,                 0.0077,                0.00021,                  7e-05,                 3.4029,                 4.9681,                 4.1449,             7.5803e-05,             7.5803e-05,             7.5803e-05
                     24,                 3.5736,                 5.5143,                 4.1341,                0.00022,                0.00715,                0.00018,                  6e-05,                  3.395,                 4.9671,                 4.1415,              7.384e-05,              7.384e-05,              7.384e-05
                     25,                  3.477,                 5.4823,                 4.1174,                0.00029,                0.01058,                0.00019,                  6e-05,                 3.3899,                 4.9646,                  4.143,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     26,                 3.4651,                 5.4568,                 4.1212,                 0.0073,                0.00856,                0.00409,                0.00124,                 3.3887,                 4.9522,                 4.1407,             6.9912e-05,             6.9912e-05,             6.9912e-05
                     27,                 3.4713,                 5.3995,                  4.109,                 0.0055,                0.01356,                0.00342,                0.00188,                 3.3868,                 4.9334,                 4.1343,             6.7949e-05,             6.7949e-05,             6.7949e-05
                     28,                 3.4906,                 5.4515,                 4.1085,                0.00093,                0.00912,                 0.0006,                0.00021,                 3.3784,                 4.9238,                 4.1272,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     29,                 3.5602,                 5.3851,                  4.099,                0.00159,                0.01135,                0.00109,                0.00047,                 3.3776,                 4.9153,                 4.1231,             6.4022e-05,             6.4022e-05,             6.4022e-05
                     30,                 3.5204,                 5.4208,                  4.105,                0.00147,                0.01222,                0.00143,                0.00057,                  3.377,                 4.8929,                 4.1144,             6.2059e-05,             6.2059e-05,             6.2059e-05
                     31,                 3.4812,                  5.391,                 4.1036,                0.00171,                0.00887,                0.00205,                0.00086,                 3.3741,                 4.8933,                 4.1098,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     32,                 3.5343,                 5.4225,                 4.0898,                0.00227,                0.01325,                0.00233,                0.00104,                 3.3757,                 4.8881,                  4.106,             5.8131e-05,             5.8131e-05,             5.8131e-05
                     33,                 3.5827,                 5.3872,                 4.0902,                0.00265,                0.01444,                 0.0026,                0.00104,                 3.3684,                 4.8796,                 4.0978,             5.6168e-05,             5.6168e-05,             5.6168e-05
                     34,                  3.484,                 5.3976,                 4.0995,                0.00362,                0.02131,                0.00309,                  0.001,                 3.3719,                 4.8605,                 4.0892,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     35,                 3.5237,                  5.362,                 4.0913,                0.00293,                0.02289,                0.00296,                 0.0011,                 3.3665,                  4.843,                 4.0897,             5.2241e-05,             5.2241e-05,             5.2241e-05
                     36,                  3.584,                 5.3828,                 4.0837,                0.00496,                0.02636,                0.00457,                0.00163,                 3.3635,                 4.8274,                 4.0928,             5.0278e-05,             5.0278e-05,             5.0278e-05
                     37,                 3.6108,                 5.3917,                 4.0724,                0.00139,                0.02395,                0.00236,                0.00107,                 3.3516,                 4.8235,                 4.0927,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     38,                 3.4804,                 5.3744,                 4.0724,                0.00127,                0.02378,                0.00245,                0.00103,                 3.3504,                 4.8206,                  4.091,              4.635e-05,              4.635e-05,              4.635e-05
