                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8524,                 1.4509,                 2.1402,                0.62352,                0.58457,                0.58608,                0.30786,                 2.0249,                 2.6561,                 2.0232,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.8179,                 1.4188,                 2.0648,                0.67344,                0.57625,                0.58278,                0.23931,                 2.0817,                 2.0225,                 1.9748,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.8374,                 1.4431,                 2.0964,                0.71023,                0.63235,                 0.6183,                0.32107,                 1.8034,                 2.2746,                 1.8161,               0.001769,               0.001769,               0.001769
                     37,                  1.789,                 1.4678,                 2.0511,                0.64043,                0.63235,                 0.7147,                  0.341,                 1.8022,                 1.6709,                  1.786,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.7832,                 1.3962,                 2.0009,                 0.4505,                0.60294,                0.51442,                 0.2914,                 1.8443,                 1.9533,                 1.9825,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.7945,                 1.4343,                 2.0816,                0.53315,                0.61765,                0.48894,                0.25125,                 1.8447,                 2.4519,                 1.8666,              0.0017492,              0.0017492,              0.0017492
                     40,                  1.786,                 1.4345,                 2.0464,                0.81192,                0.58824,                0.72404,                0.42355,                 1.7472,                 1.4684,                 1.6816,              0.0017426,              0.0017426,              0.0017426
                     41,                  1.816,                 1.3815,                   2.05,                0.76305,                0.57353,                0.63049,                0.36079,                 1.9963,                 2.4046,                 1.8618,               0.001736,               0.001736,               0.001736
                     42,                 1.7859,                 1.4145,                 2.0317,                0.43912,                0.47059,                0.32652,                0.11888,                 2.1936,                 2.3503,                 2.1881,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.7648,                 1.3991,                 1.9903,                 0.5492,                0.62709,                0.54924,                0.26459,                 1.8449,                 1.7331,                 1.8148,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.7309,                 1.3495,                 1.9885,                0.83363,                0.63235,                 0.7126,                0.43754,                 1.7245,                 1.3801,                 1.6909,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.7021,                 1.3653,                 1.9762,                0.84265,                0.60294,                 0.6527,                0.38683,                 1.9521,                 1.9334,                 1.8311,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.7078,                 1.3673,                 1.9738,                0.47224,                0.64479,                0.54979,                  0.278,                 1.9107,                 1.8181,                 1.8085,               0.001703,               0.001703,               0.001703
                     47,                 1.6948,                 1.3589,                 1.9522,                0.71913,                0.60294,                0.67368,                0.34264,                 1.8958,                 1.5262,                  1.882,              0.0016964,              0.0016964,              0.0016964
                     48,                  1.708,                 1.3416,                 1.9406,                0.81159,                0.63235,                0.68531,                0.38161,                 1.7409,                 1.6281,                 1.7401,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.7048,                 1.2992,                  1.956,                0.74486,                0.61765,                0.66327,                0.40786,                 1.6051,                 1.5319,                 1.6586,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.7172,                 1.3587,                 1.9793,                0.78265,                0.61765,                0.68693,                0.35879,                 1.7417,                 1.9825,                 1.6553,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.6719,                 1.3511,                 1.9469,                0.71205,                0.61765,                  0.617,                0.31735,                 1.8763,                 1.7699,                 1.7633,                0.00167,                0.00167,                0.00167
                     52,                 1.6893,                 1.3486,                 1.9121,                0.90869,                0.63235,                 0.6841,                0.34503,                  1.841,                 1.8586,                 1.7156,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.6577,                 1.3084,                 1.9222,                 0.7342,                0.63235,                0.59088,                0.37431,                 1.6343,                 1.7166,                 1.6784,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.6416,                 1.3273,                 1.9074,                0.70506,                0.59768,                0.59664,                0.31394,                 1.9749,                 2.0746,                 1.8886,              0.0016502,              0.0016502,              0.0016502
                     55,                  1.611,                 1.2817,                 1.8856,                0.83234,                0.58411,                0.63236,                0.30914,                 1.8652,                 2.1079,                 1.8553,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.6131,                 1.2816,                 1.8678,                0.79533,                0.63235,                0.73216,                0.44254,                  1.669,                 1.3884,                 1.6394,               0.001637,               0.001637,               0.001637
                     57,                 1.6727,                 1.2765,                  1.914,                  0.877,                0.62915,                   0.69,                 0.4159,                 1.6351,                 1.4083,                 1.6499,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.6757,                 1.3428,                  1.957,                0.71984,                0.64706,                0.70867,                0.41698,                 1.6034,                 1.3293,                 1.6054,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.6642,                 1.2832,                 1.9372,                0.62052,                0.64706,                0.57374,                0.35323,                 1.5744,                 1.8193,                 1.6724,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.6261,                 1.2662,                 1.9073,                0.67321,                0.60294,                0.63337,                0.35858,                  1.753,                 1.7249,                 1.7621,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.5896,                 1.2518,                 1.8525,                0.78917,                0.64706,                 0.6564,                0.41306,                  1.607,                 1.5566,                 1.6026,               0.001604,               0.001604,               0.001604
                     62,                 1.5905,                 1.3057,                 1.8864,                0.76758,                 0.6314,                 0.6688,                0.32112,                  1.736,                 1.4792,                 1.6421,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.6399,                 1.2656,                 1.9094,                 0.7251,                0.58824,                0.60806,                0.32291,                 1.8735,                 2.1671,                 1.8077,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.6242,                 1.2661,                 1.9139,                0.96198,                0.60294,                0.65979,                0.39336,                 1.6727,                 1.8312,                 1.7077,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.5728,                 1.2407,                 1.8368,                0.98661,                0.61765,                0.67685,                0.44263,                 1.5207,                  1.666,                 1.6062,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.5561,                 1.2543,                  1.853,                0.93973,                0.61765,                0.77519,                0.50079,                 1.4411,                 1.3775,                 1.5266,               0.001571,               0.001571,               0.001571
                     67,                 1.5691,                 1.2608,                 1.8333,                0.93922,                0.61765,                0.68515,                0.44463,                 1.5021,                 1.7237,                 1.6525,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.5854,                 1.1964,                 1.8435,                0.97006,                0.61765,                0.72873,                0.45697,                 1.5544,                 1.4958,                 1.5884,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.5548,                 1.2073,                 1.8043,                0.97678,                0.61867,                0.72947,                0.49163,                 1.5011,                 1.3692,                 1.5619,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.5928,                 1.2121,                 1.8346,                0.96731,                0.61765,                0.67943,                0.36599,                 1.6183,                 1.7202,                 1.6432,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.6053,                 1.2264,                 1.8462,                0.95609,                0.64053,                0.79458,                0.45439,                 1.6027,                 1.1858,                 1.5561,               0.001538,               0.001538,               0.001538
                     72,                 1.5561,                 1.2053,                  1.826,                0.97713,                0.62839,                0.72044,                0.44557,                 1.5591,                  1.459,                 1.5489,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.5357,                 1.2141,                 1.7953,                      1,                0.62924,                0.65376,                 0.4289,                 1.5691,                 2.0853,                 1.7054,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.5768,                 1.2037,                   1.81,                0.98404,                0.61765,                0.67644,                0.44609,                 1.4871,                 1.7171,                 1.6192,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.5575,                 1.2062,                 1.7971,                0.87192,                0.60071,                 0.7285,                0.45781,                 1.5303,                 1.3814,                 1.5555,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.5062,                 1.1643,                 1.7523,                0.88924,                0.61765,                0.75891,                0.48174,                 1.5142,                 1.3483,                 1.5304,               0.001505,               0.001505,               0.001505
                     77,                 1.5432,                 1.1808,                  1.783,                0.11771,                0.39706,                0.12457,                 0.0436,                 2.2799,                 2.9957,                 2.2155,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.5077,                 1.1913,                 1.7472,                      1,                0.60225,                 0.7588,                0.49217,                 1.4452,                 1.2938,                 1.5216,              0.0014918,              0.0014918,              0.0014918
