                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5604,                 5.7751,                 4.2664,                      0,                      0,                      0,                      0,                  3.486,                 5.3398,                 4.1597,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                 3.6163,                 5.6929,                 4.3129,                      0,                      0,                      0,                      0,                 3.4849,                 5.3399,                 4.1604,             2.8277e-05,             2.8277e-05,             2.8277e-05
                      2,                 3.6077,                 5.7041,                 4.2742,                      0,                      0,                      0,                      0,                 3.4844,                 5.3397,                 4.1606,             4.0743e-05,             4.0743e-05,             4.0743e-05
                      3,                 3.5445,                 5.6922,                 4.2762,                      0,                      0,                      0,                      0,                 3.4832,                 5.3402,                 4.1607,             5.1678e-05,             5.1678e-05,             5.1678e-05
                      4,                 3.5937,                 5.7093,                 4.2558,                      0,                      0,                      0,                      0,                 3.4824,                 5.3416,                 4.1604,              6.108e-05,              6.108e-05,              6.108e-05
                      5,                 3.5824,                 5.6863,                 4.2285,                      0,                      0,                      0,                      0,                 3.4813,                 5.3419,                 4.1594,             6.8952e-05,             6.8952e-05,             6.8952e-05
                      6,                 3.5617,                 5.6508,                 4.2405,                      0,                      0,                      0,                      0,                 3.4786,                 5.3428,                 4.1583,             7.5291e-05,             7.5291e-05,             7.5291e-05
                      7,                 3.6101,                 5.6676,                 4.2228,                      0,                      0,                      0,                      0,                 3.4772,                 5.3455,                 4.1576,             7.7766e-05,             7.7766e-05,             7.7766e-05
                      8,                 3.6387,                 5.6464,                 4.2325,                      0,                      0,                      0,                      0,                 3.4764,                 5.3491,                 4.1566,             7.7766e-05,             7.7766e-05,             7.7766e-05
                      9,                 3.5433,                 5.6198,                 4.2151,                      0,                      0,                      0,                      0,                 3.4743,                  5.351,                  4.155,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     10,                 3.5388,                 5.7713,                 4.2448,                      0,                      0,                      0,                      0,                 3.4718,                 5.3524,                 4.1528,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     11,                 3.3747,                 5.7368,                 4.2327,                      0,                      0,                      0,                      0,                 3.4679,                 5.3479,                 4.1504,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     12,                   3.35,                 5.8019,                 4.2264,                      0,                      0,                      0,                      0,                 3.4617,                 5.3356,                 4.1485,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     13,                 3.4119,                 5.7348,                 4.2131,                      0,                      0,                      0,                      0,                 3.4551,                 5.3049,                 4.1484,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     14,                 3.5135,                 5.7758,                 4.2187,                      0,                      0,                      0,                      0,                 3.4497,                 5.2631,                 4.1518,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     15,                 3.4356,                 5.7167,                 4.2246,                0.00047,                0.00343,                0.00159,                0.00017,                 3.4253,                 5.1795,                 4.1703,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     16,                 3.4106,                 5.7376,                 4.2102,                0.00018,                0.00128,                 0.0001,                  3e-05,                 3.4146,                 5.1552,                 4.1841,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     17,                 3.4265,                  5.742,                 4.2203,                0.00012,                0.00106,                  7e-05,                  2e-05,                 3.4123,                 5.1228,                 4.2005,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     18,                 3.4361,                 5.7464,                  4.215,                0.00071,                0.00756,                0.00062,                0.00012,                 3.4162,                 5.0889,                  4.215,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     19,                 3.4468,                 5.7576,                 4.2228,                0.00022,                0.00279,                0.00014,                  4e-05,                 3.4105,                 5.0774,                  4.219,             1.2971e-05,             1.2971e-05,             1.2971e-05
