                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0528,                   0.01,                   0.04,                 1.7986,              4.284e-05,              4.284e-05,              4.284e-05
                      1,                 1.0273,                   0.01,                   0.06,                 1.7985,             9.1901e-05,             9.1901e-05,             9.1901e-05
