                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6089,                 2.3635,                 1.6216,                0.31737,                0.63235,                0.44827,                0.19423,                 1.3792,                 2.8731,                  1.305,             0.00064815,             0.00064815,             0.00064815
                      1,                 1.6595,                 1.9698,                 1.5778,                0.55778,                0.51471,                0.44821,                0.19961,                 1.7694,                 2.6534,                 2.0665,              0.0013018,              0.0013018,              0.0013018
                      2,                 1.6991,                 1.8459,                 1.5661,                0.50793,                0.42647,                 0.4648,                0.20961,                 1.8438,                 3.9146,                 1.8902,              0.0019422,              0.0019422,              0.0019422
                      3,                 1.7145,                  1.783,                 1.6078,                0.09835,                    0.5,                 0.0754,                0.02925,                 2.1653,                 6.7957,                 2.1182,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.6361,                  1.681,                 1.5665,                0.74249,                0.54412,                0.67234,                0.36214,                 1.5111,                 2.4711,                 1.4774,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6459,                 1.6557,                  1.575,                0.55196,                0.51471,                0.52688,                0.23964,                 1.7429,                 2.3842,                 1.8165,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6169,                 1.6063,                  1.583,                 0.5086,                0.51471,                0.56959,                0.29003,                 1.5783,                 2.2523,                 1.6546,               0.001901,               0.001901,               0.001901
                      7,                  1.616,                 1.4928,                 1.5808,                0.82096,                0.54412,                0.66147,                 0.3052,                 1.6743,                  2.862,                 1.5499,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5704,                 1.4782,                 1.5262,                0.80044,                0.53092,                0.66578,                0.36939,                 1.4388,                  1.806,                 1.4664,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5485,                 1.4554,                 1.5442,                0.89393,                0.61974,                 0.7844,                0.46227,                 1.4269,                 1.3884,                 1.3658,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6122,                 1.4174,                 1.5641,                0.87626,                0.62489,                0.72364,                0.36081,                  1.674,                 1.5568,                  1.548,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5275,                 1.3892,                  1.493,                0.88328,                0.63235,                0.71001,                0.36653,                 1.7433,                 1.5851,                 1.5505,               0.001802,               0.001802,               0.001802
                     12,                 1.5119,                 1.3478,                 1.4888,                0.84508,                0.64706,                 0.7218,                0.38913,                 1.7264,                 1.5234,                  1.563,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5254,                 1.3345,                 1.5013,                0.99149,                0.61765,                0.77829,                0.40717,                 1.6676,                  1.261,                 1.5259,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5351,                 1.3398,                 1.5083,                0.91067,                0.60294,                0.66052,                0.37906,                 1.6872,                 1.7054,                 1.6239,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5028,                 1.2612,                 1.4769,                0.95656,                0.61765,                0.68306,                0.44822,                 1.4124,                 1.5437,                 1.4121,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4569,                 1.2498,                 1.4367,                0.89964,                0.60294,                0.69456,                0.41734,                 1.5432,                 1.4767,                 1.5003,               0.001703,               0.001703,               0.001703
                     17,                 1.4899,                 1.2084,                 1.4443,                0.85533,                0.61765,                0.66178,                0.41746,                 1.4313,                 1.7491,                 1.5463,              0.0016832,              0.0016832,              0.0016832
