                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5604,                 5.7751,                 4.2664,                      0,                      0,                      0,                      0,                  3.486,                 5.3398,                 4.1597,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                 3.6171,                 5.6926,                 4.3128,                      0,                      0,                      0,                      0,                 3.4849,                 5.3396,                 4.1604,             2.9455e-05,             2.9455e-05,             2.9455e-05
                      2,                 3.6053,                 5.7029,                 4.2721,                      0,                      0,                      0,                      0,                 3.4843,                 5.3396,                 4.1605,             4.4325e-05,             4.4325e-05,             4.4325e-05
                      3,                 3.5456,                 5.6909,                 4.2757,                      0,                      0,                      0,                      0,                 3.4828,                 5.3397,                 4.1605,             5.8888e-05,             5.8888e-05,             5.8888e-05
                      4,                 3.5914,                 5.7073,                 4.2478,                      0,                      0,                      0,                      0,                 3.4817,                 5.3402,                   4.16,             7.3144e-05,             7.3144e-05,             7.3144e-05
                      5,                  3.581,                 5.6778,                 4.2284,                      0,                      0,                      0,                      0,                 3.4808,                 5.3421,                 4.1584,             8.7094e-05,             8.7094e-05,             8.7094e-05
                      6,                 3.5633,                 5.6459,                 4.2268,                      0,                      0,                      0,                      0,                 3.4784,                 5.3434,                 4.1572,             0.00010074,             0.00010074,             0.00010074
                      7,                 3.6071,                 5.6513,                  4.216,                      0,                      0,                      0,                      0,                 3.4766,                 5.3472,                 4.1558,             0.00011075,             0.00011075,             0.00011075
                      8,                 3.6332,                 5.6299,                 4.2235,                      0,                      0,                      0,                      0,                  3.476,                 5.3505,                  4.154,             0.00011075,             0.00011075,             0.00011075
                      9,                 3.5326,                 5.6076,                 4.2049,                      0,                      0,                      0,                      0,                 3.4726,                 5.3564,                 4.1524,             0.00010958,             0.00010958,             0.00010958
                     10,                 3.6255,                 5.5862,                 4.2071,                      0,                      0,                      0,                      0,                 3.4723,                 5.3593,                 4.1498,              0.0001084,              0.0001084,              0.0001084
                     11,                 3.5351,                 5.5533,                 4.1919,                      0,                      0,                      0,                      0,                 3.4668,                 5.3548,                 4.1467,             0.00010722,             0.00010722,             0.00010722
                     12,                 3.5976,                 5.6039,                  4.194,                      0,                      0,                      0,                      0,                 3.4604,                 5.3407,                 4.1422,             0.00010604,             0.00010604,             0.00010604
                     13,                 3.4597,                 5.5906,                 4.1739,                      0,                      0,                      0,                      0,                  3.452,                 5.3074,                 4.1368,             0.00010486,             0.00010486,             0.00010486
                     14,                 3.5926,                  5.545,                 4.1783,                0.00039,                0.00056,                0.00024,                  4e-05,                 3.4491,                 5.2564,                 4.1373,             0.00010368,             0.00010368,             0.00010368
                     15,                 3.5744,                 5.5431,                 4.1705,                0.00016,                0.00078,                0.00014,                  4e-05,                 3.4324,                 5.1751,                 4.1409,             0.00010251,             0.00010251,             0.00010251
                     16,                 3.6208,                 5.5191,                 4.1629,                0.00014,                0.00133,                  9e-05,                  3e-05,                 3.4207,                 5.1336,                  4.149,             0.00010133,             0.00010133,             0.00010133
                     17,                 3.6182,                 5.4742,                 4.1681,                0.62035,                 0.0005,                 0.0001,                  3e-05,                 3.4202,                 5.1116,                 4.1572,             0.00010015,             0.00010015,             0.00010015
                     18,                 3.4531,                 5.5093,                 4.1496,                0.60604,                0.00061,                  9e-05,                  3e-05,                 3.4129,                 5.0877,                 4.1548,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                 3.5266,                  5.474,                 4.1603,                 0.0002,                0.01012,                 0.0015,                0.00059,                 3.4066,                 5.0432,                 4.1514,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                 3.5078,                 5.4946,                 4.1377,                0.00021,                0.01575,                0.00154,                 0.0006,                 3.4088,                 5.0169,                 4.1517,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                 3.4631,                 5.5398,                 4.1271,                0.00026,                0.01179,                0.00152,                0.00046,                 3.4049,                 4.9892,                 4.1426,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                 3.5708,                 5.4353,                 4.1343,                0.00069,                0.01205,                 0.0011,                0.00023,                 3.3995,                  4.976,                 4.1367,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                 3.5478,                 5.5123,                  4.123,                0.00027,                 0.0114,                 0.0006,                0.00012,                 3.3874,                 4.9576,                 4.1374,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                 3.5691,                 5.5012,                 4.1236,                0.00033,                0.01043,                0.00094,                0.00031,                  3.389,                 4.9553,                 4.1381,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                 3.4798,                 5.4611,                 4.1062,                0.00039,                0.01352,                0.00164,                0.00065,                 3.3809,                 4.9452,                  4.139,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                 3.4566,                 5.4365,                 4.1147,                 0.0014,                0.02377,                0.00153,                0.00046,                 3.3744,                 4.9191,                 4.1414,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                 3.4388,                 5.3815,                 4.0969,                 0.0009,                0.01281,                0.00098,                0.00014,                 3.3845,                 4.9023,                 4.1311,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                 3.4703,                 5.4411,                 4.0978,                0.00106,                0.01735,                0.00087,                0.00017,                 3.3802,                  4.892,                 4.1258,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                 3.5454,                 5.3507,                 4.0793,                0.00083,                 0.0173,                0.00062,                0.00013,                 3.3651,                 4.8778,                 4.1151,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                 3.5124,                 5.3843,                 4.0943,                0.00078,                0.01989,                 0.0008,                0.00016,                 3.3528,                 4.8725,                 4.1132,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     31,                 3.4722,                 5.3692,                 4.0814,                0.00066,                0.01598,                0.00095,                0.00017,                  3.346,                 4.8682,                 4.1007,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     32,                 3.5202,                 5.3901,                 4.0721,                0.00061,                0.01475,                0.00089,                0.00014,                 3.3476,                  4.861,                 4.0938,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                 3.5651,                 5.3663,                 4.0631,                0.00144,                0.01916,                0.00115,                0.00048,                 3.3358,                 4.8483,                 4.0832,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                 3.4723,                 5.3678,                 4.0819,                0.00033,                0.01374,                0.00031,                  8e-05,                 3.3439,                 4.8349,                 4.0735,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                 3.5159,                 5.3383,                 4.0735,                 0.0013,                0.01839,                0.00092,                0.00038,                 3.3381,                 4.8274,                 4.0742,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                 3.5661,                 5.3275,                 4.0504,                0.00098,                0.01828,                0.00083,                0.00035,                 3.3336,                 4.8291,                 4.0792,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                 3.5896,                 5.3535,                 4.0375,                0.00099,                0.02403,                0.00111,                0.00043,                 3.3254,                 4.8291,                 4.0801,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                 3.4594,                 5.3507,                 4.0409,                0.00099,                0.02397,                0.00173,                0.00061,                 3.3203,                 4.7927,                 4.0628,              7.541e-05,              7.541e-05,              7.541e-05
