                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5604,                 5.7751,                 4.2664,                      0,                      0,                      0,                      0,                  3.486,                 5.3398,                 4.1597,              1.428e-05,              1.428e-05,              1.428e-05
                      1,                 3.6175,                 5.6932,                 4.3128,                      0,                      0,                      0,                      0,                 3.4849,                 5.3396,                 4.1603,             2.7296e-05,             2.7296e-05,             2.7296e-05
                      2,                 3.4707,                 5.9075,                 4.3139,                      0,                      0,                      0,                      0,                 3.4849,                 5.3398,                 4.1605,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      3,                 3.3627,                 5.8613,                 4.3545,                      0,                      0,                      0,                      0,                  3.484,                 5.3407,                 4.1614,             4.5669e-05,             4.5669e-05,             4.5669e-05
                      4,                 3.4506,                  5.848,                 4.3435,                      0,                      0,                      0,                      0,                 3.4831,                 5.3433,                 4.1622,             5.1027e-05,             5.1027e-05,             5.1027e-05
                      5,                  3.459,                 5.8572,                  4.299,                      0,                      0,                      0,                      0,                 3.4823,                 5.3471,                 4.1633,             5.3833e-05,             5.3833e-05,             5.3833e-05
                      6,                 3.4027,                 5.8527,                 4.3015,                      0,                      0,                      0,                      0,                 3.4824,                 5.3498,                 4.1649,             5.4086e-05,             5.4086e-05,             5.4086e-05
                      7,                 3.4115,                 5.7922,                 4.2846,                      0,                      0,                      0,                      0,                 3.4825,                 5.3547,                 4.1666,             5.0278e-05,             5.0278e-05,             5.0278e-05
                      8,                 3.4453,                 5.8348,                 4.2883,                      0,                      0,                      0,                      0,                 3.4822,                 5.3599,                 4.1683,             5.0278e-05,             5.0278e-05,             5.0278e-05
                      9,                 3.4013,                 5.7652,                 4.2476,                      0,                      0,                      0,                      0,                  3.483,                 5.3642,                 4.1704,              4.046e-05,              4.046e-05,              4.046e-05
                     10,                 3.4799,                 5.7899,                 4.2587,                      0,                      0,                      0,                      0,                 3.4825,                 5.3643,                 4.1707,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     11,                 3.4797,                 5.7873,                 4.2577,                      0,                      0,                      0,                      0,                 3.4769,                 5.3613,                 4.1699,             2.0825e-05,             2.0825e-05,             2.0825e-05
